TYC 4657-319-1
BD+88 3
G 265-7
G 265-15
HD 22701
HD 26367
G 222-3
UGC 3257
HD 33564
LP 16-36
LSR J0550+8130
HD 37006
G 248-51
UGC 3276
GSC 04528-00156
LP 15-187
HD 37393
BD+73 300
LP 16-294
G 248-50
UGC 3343
HD 39299
LP 33-436
NGC 1961
G 249-13
BD+62 780
G 249-19
G 249-16
V* BY Cam
UGC 3351
G 192-12
GD 290
G 192-11
UGC 3354
* del Aur
HD 37975
HD 38007
G 192-6
G 192-8
LP 120-28
LP 159-33
LP 159-32
G 204-39
ROTSE1 J175448.31+460241.1
SDSS J175805.46+463311.9
LP 184-6
Wolf 1386
ROTSE1 J175201.56+535615.1
LP 139-21
HD 161582
LP 102-320
G 227-19
G 227-14
LP 102-432
TYC 3910-87-1
* ksi Dra
LP 102-243
LP 102-241
LP 102-239
V* MS Dra
G 227-20
HD 160933
BD+69 940
BD+68 942
BD+68 946
LP 44-37
* ome Dra
NGC 6503
HD 161897
* psi01 Dra A
* psi01 Dra B
G 258-17
HD 160964
BD+71 851
EGGR 372
G 258-26
LP 44-48
G 240-64
NGC 6434
LP 44-162
LP 44-153
G 259-17
G 258-9
HD 163183
NGC 6412
G 259-12
* 35 Dra
IC 4660
G 259-22
PM J17348+7844
G 259-23
EGGR 199
G 259-15
* 24 UMi
BD+85 286
G 259-20
G 256-35
V* UY UMi
HD 115675
G 265-34
MCG+15-01-003
LP 1-74
G 253-2
BD+87 69
G 265-30
BD+85 82
HD 56322
G 265-29
G 265-31
IC 469
NGC 2268
MCG+14-04-020
UGC 3654
MCG+14-04-039
UGC 4297
UGC 4078
G 222-18
PM J06551+8427
IC 455
NGC 2276
NGC 2300
G 222-11
RX J0613.5+8201
LP 4-203
LP 4-288
LP 4-248
LP 5-182
HD 46588
G 251-15
PM J06521+7908
UGC 3413
LP 15-236
G 222-15
BD+76 242
HD 45161
UGC 3439
LP 16-94
LP 16-197
NGC 2146
HD 45947
EGGR 421
V* MU Cam
LP 33-282
LP 33-293
MCC 233
HD 42250
UGC 3474
UGC 3403
G 249-27
G 249-28
HD 40647
LP 57-90
HD 40708
MCC 234
HD 42891
UGC 3416
LSPM J0622+6748
G 249-32
G 249-30
HD 42417
HD 43297
HD 40891
BD+63 639
G 192-13
G 249-36
HD 42819
TYC 3755-532-1
G 192-22
LP 120-46
LP 121-2
G 192-15
G 192-20
PM J06117+4813
TYC 3383-892-1
HD 40650
Wolf 261
BD+46 2361
PG 1743+477
GD 366
2MASS J17440833+4734403
RX J1736.9+4859
ATO J265.4903+47.8980
LP 139-6
GD 524
* nu.01 Dra
* nu.02 Dra
HD 160520
G 226-64
V* EN Dra
[FS2003] 0909
PM J17395+5650
G 226-66
G 226-60
NGC 6390
HD 160934
GJ 4021
HD 159265
HD 159329
G 226-59
* 26 Dra
NGC 6359
G 240-52
G 240-53
BD+69 899
EGGR 370
HD 158633
G 240-58
LP 43-420
LP 70-260
LP 43-519
NGC 6395
IC 1254
NGC 6340
IC 1251
UGC 10713
LSPM J1658+7027
LP 43-401
2MASS J17110598+7215127
V* VX UMi
HD 154181B
G 258-2
UGC 10803
LP 23-160
HD 152303
BD+76 614
BD+76 614B
G 259-5
1RXS J165750.0+754004
HD 149681
G 256-25
HD 150706
LP 23-43
HD 139213
HD 145709
LP 8-201
G 256-29
UGC 10054
BD+84 343
G 256-20
HD 133002
BD+83 435
HD 142975
G 256-21
HD 107113
BD+85 223
EGGR 436
BD+87 91
HD 103126
HD 90343
HD 89571
IC 499
HD 73835
BD+84 200
IC 512
UGC 4601
G 253-6
HD 49985
HD 62613
G 251-37
IC 467
LP 17-55
NGC 2336
G 251-35
G 251-19
G 251-40
LP 17-68
LP 17-44
LP 16-327
HD 51067B
HD 51067
G 251-17
G 251-18
2MASX J07142057+7328502
LP 16-395
G 251-24
G 251-16
HD 51370
TYC 4367-141-1
G 250-4
UGC 3580
GSC 04109-00613
G 250-15
G 249-51
G 250-11
G 250-17
UGC 3478
LP 58-279
* 2 Lyn
BD+60 975
G 249-47
G 192-32
IC 2166
LP 87-145
HD 46317
G 192-26
PN PuWe 1
LP 160-10
StKM 1-583
StKM 1-587
BD+47 1276
HD 43523
HD 159062
HD 159813
HD 159137
V* V813 Her
LP 180-14
G 203-71
G 203-67
StKM 1-1470
G 203-63
HD 156985
HD 158259
ROTSE1 J171520.08+525441.2
LP 138-36
LP 139-4
HD 158222
G 226-55
G 226-62
ROTSE1 J171246.47+540901.5
HD 155902
AP J17123270+5800530
LP 101-372
HD 154712B
HD 154712A
HD 155069
G 226-45
BD+59 1796
NGC 6307
NGC 6306
LSPM J1703+5910
HD 156279
HD 156295
G 226-38
G 226-35
UGC 10796
LSPM J1652+6304
LP 70-238
TYC 4202-885-1
GD 518
* h Dra
G 240-36
G 240-44
G 240-45
LSPM J1707+6439
HD 151541
G 240-38
G 240-23
Mrk 1110
HD 148941
NGC 6236
G 257-35
G 257-30
Ross 1057
G 256-30
* eta UMi
LP 23-71
HD 137489
* pi.01 UMi A
* pi.01 UMi B
LP 8-292
BD+83 410
BD+81 465
HD 128642
UGC 8101
HD 117655
LP 7-234
LP 8-24
BD+83 342
HD 96511
G 253-53
G 253-38
FBS 1117+830
G 253-34
G 253-24
HD 90089
BD+81 297
LP 5-181
UGC 4701
LP 18-105
G 251-58
G 251-46
G 253-17
G 253-16
HD 71827
NGC 2591
LP 17-82
LP 17-156
NGC 2655
G 251-48
G 251-45
G 251-57
UGC 4202
UGC 4238
LP 17-260
LP 17-228
HD 59201
Mrk 7
NGC 2441
UGC 3864
UGC 3701
NAME GB 1
UGC 3714
G 251-27
G 251-29
UGC 3804
LP 34-252
G 250-33
BD+68 467
BD+68 474
HD 56168
HD 55745B
G 250-34
G 250-32
V* V470 Cam
G 250-36
UGC 3660
EGGR 342
G 250-30
G 250-25
G 250-31
G 250-27
UGC 3504
HD 49039
HD 48948
G 250-29
G 192-45
G 192-51
UGC 3530
NGC 2273
G 192-36
G 192-38
G 192-47
UGC 3574
V* V382 Aur
BD+52 1088B
HD 47309
GSC 03389-00120
StKM 1-598
LP 160-40
LP 160-22
V* V734 Her
BD+49 2600
HD 157373
G 203-62
G 203-55
UGC 10806
LP 179-29
G 203-42
G 203-44
HD 156728
* mu. Dra A
* mu. Dra B
HD 155674
BD+54 1862
* mu. Dra C
G 226-33
LP 138-13
LP 138-12
LP 138-20
G 226-30
V* DN Dra
HD 153344
G 226-37
G 225-72
NGC 6247
BPS BS 16087-0077
BPS BS 16087-0086
BPS BS 16087-0119
HD 147379
HD 147379B
BPS BS 16087-0054
HD 147231
HD 148004
RX J1604.6+7022
HD 144061
HD 142474
* 14 UMi
HD 135363
BD+75 551
LSPM J1437+7536S
UGC 9355
G 255-52
G 256-11
LP 21-201
G 255-18
HD 110010
FBS 1211+809
TYC 4554-16-1
LP 20-178
LP 21-14
G 253-51
G 253-48
LP 19-419
FBS 1139+790
LP 19-311
LP 19-387
NGC 3057
UGC 5609
UGC 5757
TYC 4545-681-1
G 253-25
G 253-23
NGC 2715
BD+77 374
NGC 2938
LSR J0939+7821
HD 80768
HD 76974
G 252-19
UGC 4623
NGC 2748
HD 68788
G 252-13
G 252-12
NGC 2634
NGC 2633
NGC 2550
IC 2389
NGC 2636
[ZEH2003] RX J0822.0+7440 2
NGC 2551
LP 17-276
HD 66171
G 251-51
HD 61994
G 234-6
G 234-13A
GSC 04361-00610
G 250-49
MCC 492
LSPM J0723+6721
NGC 2403
LP 58-190
G 250-41
G 250-46
UGC 3685
* 15 Lyn
MCC 484
Z 285-12
BD+59 1056
StKM 1-625
BD+55 1142
G 192-46
G 192-58
HD 51046
GD 77
HD 49425
G 107-20
LP 205-15
LP 161-142
LP 161-28
V* V786 Her
HD 155988
G 203-43
V* V716 Her
HD 153970
HD 154345
EGGR 577
V* V715 Her
V* V780 Her
HD 153525
HD 153557B
EGGR 576
ROTSE1 J170614.56+480321.1
G 203-31
G 203-28
LP 137-54
MCC 780
PG 1648+536
GD 356
V* CM Dra
HD 151613
HD 152012
StM 300
EGGR 258
LP 101-187
HD 238600
G 226-9
HD 150172
HD 148226
HD 146868
* eta Dra
* eta Dra B
G 225-51
BPS BS 16079-0152
2MASS J16263737+6040431
IC 1210
BPS BS 16087-0018
HD 143665
LSPM J1551+6457
G 239-58
HD 143105
G 257-22
G 225-42
G 239-41
G 257-8
G 257-3
HD 135143
BD+72 659
* 9 UMi
G 255-55
G 239-19
LP 21-313
G 255-49
BD+75 510
HD 123710
AC +77 4810
G 255-17
V* CO Cam
BD+78 428
G 254-35
LP 20-170
NGC 4159
NGC 4127
UGC 7086
LP 20-214
G 254-29
G 253-49
G 253-50
G 254-27
NGC 3901
BD+78 345
BD+76 404
G 253-37
NGC 3329
PG 1043+760
BD+76 3952
BD+75 403A
LSR J0959+7533
LP 18-535
G 252-38
Ross 433
G 252-33
MCG+12-09-046
UGC 5052
IC 529
UGC 4841
UGC 4883
NGC 2977
LP 18-300
NGC 2641
G 252-25
G 252-23
BD+73 447
G 252-27
TYC 4379-1282-1
HD 75632B
G 252-15
G 252-21A
G 234-39
LSR J0837+7037
UGC 4305
HD 66751
G 234-36
LP 35-347
LP 60-56
UGC 3991
GD 454
G 234-5
UGC 4024
HD 57813
StKM 1-650
G 234-8
UGC 3789
LP 88-196
UGC 3816
UGC 3855
UGC 3828
HD 57625
HD 54982
UGC 3765
G 193-27
HD 233357
G 193-37
G 192-59
G 192-60
LP 122-34
HD 49601
G 107-30
HD 51866
G 107-41
V* CX Aur
2MASS J06523073+4710348
CRTS J064707.1+443946
G 107-28
G 107-33
G 203-39
PG 1658+441
LP 226-11
BD+47 2391
MCC 784
StKM 1-1392
LP 179-3
LP 179-5
HD 151044
HD 234344
G 202-68
V* V1082 Her
G 202-69
BD+52 1986A
G 202-53
G 202-56
G 202-58
HD 148329
G 202-48
HD 149929
G 202-61
BD+55 1823
LP 137-28
G 225-54
NGC 6125
HD 146044
MCC 755
BPS BS 16079-0084
BPS BS 16079-0114
LSPM J1601+5943
* tet Dra
HD 143433
BD+62 1446
BPS BS 16079-0033
BPS BS 17451-0050
BPS BS 17451-0051
NGC 6015
GD 348
G 224-74
NGC 5949
BPS BS 17451-0022
AC +64 4800
G 239-48
BD+67 869
HD 136064
HD 137826
PG 1515+669
2MASX J15123098+6553245
LP 67-312
NAME UMi Galaxy
HD 132107
G 239-29
LP 41-122
LP 41-258
MCC 713
HD 124567
G 255-50
LP 41-175
G 255-33
BD+75 511
G 255-39
G 255-37
NGC 4648
G 255-19
G 255-24
G 255-21
NGC 4750
UGC 8052
LP 39-181
G 254-34
MCC 659
G 255-12
G 254-38
V* AS Dra
NGC 4319
NGC 4133
UGC 7767
NGC 4386
LSPM J1209+7406
NGC 4291
NGC 4589
LP 20-71
NGC 3752
NGC 3348
NGC 3364
HD 97584
HD 97584B
NGC 3403
NGC 3155
G 254-6
NGC 3183
NGC 3252
NGC 3147
UGC 5689
LSPM J1028+7408
* 22 UMa
BD+72 463
NGC 3066
NGC 3065
NGC 3027
NGC 2985
UGC 5415
LP 36-276
NGC 2810
G 236-1
G 236-2
NGC 2787
* d UMa
LP 60-145
G 234-53
LP 36-81
G 234-37
HD 70352
BD+67 552
BD+66 582
G 234-43
HD 69328
HD 69433
* 2 UMa
GD 457
* pi.01 UMa
HD 67850
LP 59-492
UGC 4169
LSR J0804+6153
HD 62522
GD 453
HD 65301
G 193-73
NGC 2460
HD 60272
G 193-65
BD+54 1165
MCC 499
LP 122-47
G 193-39
G 193-36
StKM 1-632
G 193-43
LSPM J0722+4929
G 107-48
HD 55575
NGC 2344
G 202-63
HD 151188
RX J1648.0+4522
TYC 3082-155-1
GSC 03499-01794
Ross 527
G 202-59
G 202-64
G 202-60
LP 178-24
G 203-5
StKM 1-1374
NGC 6155
LP 178-17
V* V1195 Her
MCC 759
G 202-38
PG 1619+522
LP 137-15
GSC 03498-01093
G 202-37
PG 1601+581
LP 100-259
G 224-82
LP 136-50
G 225-40
G 224-84
NGC 5989
NGC 5987
NGC 5985
NGC 5981
2MASS J15474753+5806464
RX J1542.3+5936
[FK2002] 240
LP 100-26
NGC 5982
HD 139477
G 224-79
G 224-63
HD 138868
LP 99-392
BPS BS 16086-0060
LB 294
LP 99-246
PG 1519+640
GD 340
G 239-51
HD 133826
HD 134319
G 224-57
HD 134319B
G 239-22
G 239-25
AC +67 4632
HD 130460
LP 41-341
HD 120162
G 238-50
AC +69 5608
LP 40-109
BD+71 632
NGC 4749
NGC 4693
LSPM J1239+7103
HD 107361
HD 109413
G 237-51
G 237-15
BD+72 545
PG 1146+722
G 237-32
NGC 3735
UGC 5955
NGC 3516
HD 94132
LP 37-186
G 236-34
HD 87598
BD+69 572
G 235-55
NGC 3077
M 82
LP 37-57
LP 37-125
PM J10021+6842
M 81
BD+70 578
BD+67 601
NGC 2976
LP 36-282
* sig02 UMa A
* sig02 UMa B
G 234-56
G 234-49
HD 75073
EGGR 430
G 234-35
UGC 4241
G 193-83
G 194-13
G 194-24
G 193-78
LP 89-188
LP 123-75
NGC 2469
HD 63332
HD 233453
HD 233429
G 193-60
G 193-59
LP 162-14
HD 60912
* 22 Lyn
G 193-52
GD 86
G 107-69
G 107-70
G 107-65
BD+46 1264
UGC 3845
LP 162-24
NGC 2337
HD 56963
GD 84
G 107-67
HD 55647
StKM 1-638
LP 161-219
LP 162-1
PG 1633+434
EGGR 574
StKM 1-1335
2MASS J16243140+4549570
G 202-45
LP 177-391
LP 136-41
LP 136-54
HD 142626
V* CL Dra
G 202-26
LP 136-31
G 224-65
BPS BS 16086-0086
HD 138367
G 224-69
LP 135-438
NGC 5963
NGC 5965
V* QX Dra
* iot Dra
G 239-45
LP 99-206
NGC 5894
StM 219
2MASS J15090696+5904282
G 224-39
Ross 1051
LP 98-416
V* EK Dra
HD 127821
G 224-31
LSPM J1438+6408
HD 128385
LP 67-44
LP 67-45
2MASS J14323193+6359050
LP 66-542
HD 120163
G 238-55
V* MP Dra
EGGR 539
G 238-54
BD+65 965
UGC 8737
G 238-39
LP 66-58
HD 112956
HD 114703
G 238-28
GD 484
HD 110313
LP 39-249
LP 39-159
LP 39-168
NGC 4034
V* VV Dra
Ross 689
G 237-61
G 237-44
G 237-56
LP 39-244
NGC 4120
NGC 4128
NGC 4236
LP 39-246
G 236-81
UGC 6711
NGC 3879
HD 97139
Ross 448
NGC 3654
NGC 3622
LSPM J1108+6830
LP 38-95
BD+70 639
UGC 5765
LP 37-235
PM J10157+6604
HD 90838
G 235-66
G 235-65
TYC 4384-116-1
LP 62-141
IC 2574
G 235-43
HD 87000
AC +67 3388
G 235-51
G 235-44
LP 62-1
G 235-29
G 235-32
V* DE UMa
G 234-55
AG+63 543
* h UMa
G 235-25
G 235-20
NGC 2820
NGC 2814
NGC 2880
LP 60-383
* tau UMa
NGC 2805
HD 75879
EGGR 172
G 234-52
G 234-47
* c UMa
Mrk 18
NGC 2816
PN A66 28
G 234-45
NGC 2654
* 30 Lyn
G 194-23
NGC 2549
HD 68638
G 194-18
LP 124-10
StKM 1-693
G 194-14
EGGR 344
G 193-82
StKM 1-672
LP 123-61
BD+49 1658
HD 61417
HD 62923
LSPM J0747+4808
LSPM J0747+4807
TYC 3410-321-1
LP 162-47
HD 60737
G 111-18
1RXS J073101.9+460030
