39   ;2MASS J22593244+4450284            ;PM*;22 59 32.4567069528 +44 50 28.351853232;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;M7.5                  ;   2;   0,
40   ;G 216-28                           ;PM*;23 08 27.8159052217 +47 00 40.819166446;     ~   ;16.3     ;     ~   ;13.5     ;     ~   ;M3.6                  ;  10;   0,
41   ;HD 218868                          ;PM*;23 10 50.0782612416 +45 30 44.180316288;8.150    ;7.750    ;     ~   ;6.5      ;     ~   ;G8V                   ;  80;   0,
42   ;GSH 106-12-44                      ;sh ;23 10 00.0 +46 54 00                   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~                     ;   3;   0,
43   ;BD+45 4188                         ;PM*;23 18 17.9363335005 +46 17 21.442024774;     ~   ;     ~   ;     ~   ;10.417   ;     ~   ;M0.5V                 ;  54;   0,
44   ;HD 220221                          ;PM*;23 21 44.4512642400 +45 10 33.792347820;     ~   ;     ~   ;     ~   ;7.5      ;     ~   ;K3V(k)                ;  53;   0,
45   ;HD 220445                          ;PM*;23 23 28.8025650408 +45 47 35.715352344;     ~   ;9.49     ;     ~   ;8.1      ;     ~   ;K0                    ;  31;   0,
46   ;BD+44 4400                         ;PM*;23 23 30.6874210008 +45 47 18.690374220;     ~   ;10.36    ;     ~   ;8.7      ;     ~   ;K8                    ;  25;   0,
47   ;PN Vy 2-3                          ;PN ;23 22 57.9043238616 +46 53 58.073396856;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;O(H)3-4I              ;  87;   0,
48   ;HD 218949                          ;PM*;23 11 38.7301136160 +47 05 55.315773132;8.130    ;7.900    ;     ~   ;6.8      ;     ~   ;G5                    ;  34;   0,
49   ;Ross 247                           ;PM*;23 30 41.7614080099 +46 39 56.141315259;     ~   ;14.7     ;     ~   ;12.948   ;     ~   ;M1.5V                 ;  15;   0,
50   ;LP 239-25                          ;PM*;23 34 33.7491229510 +45 31 23.638286075;     ~   ;18.1     ;     ~   ;16.2     ;     ~   ;~                     ;  12;   0,
51   ;Z 533-12                           ;AG?;23 33 50.772 +45 10 28.14              ;     ~   ;15.7     ;     ~   ;     ~   ;     ~   ;~                     ;  14;   0,
52   ;HD 220821                          ;PM*;23 26 40.3601418536 +45 20 17.307072032;     ~   ;8.01     ;     ~   ;7.0      ;     ~   ;G2                    ;  52;   0,
