star_name,star_alternate_names
HATS-37A,
HATS-38,
HATS-39,
HATS-3,
HATS-40,
HATS-41,
HATS-42,
HATS-43,2MASS-05220915-3058150
HATS-44,2MASS-05371842-2758214
HATS-45,2MASS-06475862-2154385
HATS-46,2MASS-00264858-5618580
HATS-47,
HATS-48A,
HATS-49,
HATS-4,
HATS-50,
HATS-51,
HATS-52,
HATS-53,
HATS-54,NGTS-22
HATS-55,
HATS-56,
HATS-57,
HATS-58A,
HATS-59,
HATS-5,
HATS-60,
HATS-61,
HATS-62,
HATS-63,
HATS-64,
HATS-65,
HATS-66,
HATS-67,
HATS-68,
HATS-69,
HATS-6,MASS 05523523-1901539
HATS-70,
HATS-71A,
HATS-72,
HATS-74A,TOI-737
HATS-75,TOI-552
HATS-76,TOI-555
HATS-77,TOI-730
HATS-7,
HATS-8,
HATS-9,"2MASS J19231442-2009587, EPIC 217671466, GSC 6305-02502, K2-142, WISE J192314.43-200958.9"
HD 10442,
HD 106315,"2MASS J12135339-0023365, BD+00 2910, EPIC 201437844, GSC 04940-00868, K2-109, SAO 138659, TYC 4940-868-1, WISE J121353.39-002336.4"
HD108236,
HD 110113,TOI-755
HD 114082,
HD 137496,
HD 1397,
HD 149026,
HD 152843,TOI-2319
HD 17156,
HD 183579,TOI-1055
HD 189733,
HD 190622,TOI-1054
HD 191939,
HD 202772 A,TIC 290131778
HD 20329,TOI-4524
HD 207496,TOI-1099
HD 207897,TOI-1611
HD 213885,TOI-141
HD 219134,
HD 219666,
HD 221416,TOI-197
HD 22946,TOI-411
HD 23472,TOI-174
HD 260655,"TOI-4599, GJ 239"
HD 2685,
HD 28109,
HD 283869,EPIC 248045685
HD 31221,
HD 3167,"EPIC 220383386, HIP 2736, 2MASS J00345752+0422531, BD+03 68, K2-96, SAO 109291, TYC 0013-00894-1, WISE J003457.60+042251.4"
HD 332231,"TIC  199376584, TOI 1456"
HD 5278,TOI-130
HD 56414,TOI-1228
HD 63433,TOI-1726
HD 63935,
HD 73344,
HD 73583,TOI-560
HD 75784,
HD 80606,
HD 80653,"2MASS J09212142+1422046, EPIC 251279430, K2-312, TIC 55315929, TYC 825-1097-1, WISE J092121.39+142204.3"
HD 85628 A,
HD 86226,
HD 89345,"K2-234, EPIC 248777106"
HD 93963 A,TOI-1797
HD 95338,
HD 97658,
HIP 113103,
HIP 116454,
HIP 41378,
HIP 65A,TOI-129
HIP 67522,
HIP 94235,TOI-4399
HIP 97166,
HR 858,TIC 178155732
J1433,SDSS J143317.78+101123.
K2-100,"2MASS J08382429+2006217, EPIC 211990866, TYC 1398-142-1, WISE J083824.27+200621.7"
K2-101,"2MASS J08412258+1856020, EPIC 211913977, WISE J084122.55+185601.8"
K2-102,"2MASS J08401345+1946436, EPIC 211970147, WISE J084013.43+194643.6"
EPIC 211822797,"2MASS J08413848+1738240, K2-103, WISE J084138.46+173823.9"
K2-104,"2MASS J08383283+1946256, EPIC 211969807, WISE J083832.80+194625.4"
K2-105,"2MASS J08214087+1329512, EPIC 211525389, TYC 807-1019-1, WISE J082140.87+132951.1"
EPIC 220674823,"K2-106, TYC 608-458-1, 2MASS J00521914+1047409, WISE J005219.18+104740.9"
K2-107,"2MASS 18595649-221736, EPIC 216468514, 2MASS J18595649-2217363, WISE J185956.48-221736.2"
K2-108,"EPIC 211736671, 2MASS J08133165+1625107, WISE J081331.64+162510.4"
K2-10,"EPIC 201577035, 2MASS J11282927+0141264, WISE J112829.21+014126.2"
K2-110,"2MASS J13492388-1217042, EPIC 212521166, WISE J134923.91-121705.2"
K2-111,"2MASS 03593351 + 211755, Cl* Melotte 25 PELS 9, K2-111, 2MASS J03593351+2117552, EPIC 210894022, TIC 14227229, WISE J035933.62+211754.8"
K2-113,"2MASS J01174783+0652080, EPIC 220504338, WISE J011747.84+065207.8"
K2-114,"2MASS J08313191+1155202, EPIC 211418729, WISE J083131.90+115520.1"
K2-116,"BD-12 6259, EPIC 206119924, 2MASS J22243636-1134428, HIP 110620, TYC 5807-01363-1, WISE J222436.50-113444.7"
K2-117,"2MASS J08552535+1028087, K2-117, EPIC 211331236, WISE J085525.36+102809.0"
K2-118,"EPIC 211680698, 2MASS J08483045+1539216, WISE J084830.45+153921.3"
K2-119,"EPIC 211770795, 2MASS J08480233+1654067, WISE J084802.35+165406.4"
K2-11,"EPIC 201596316, 2MASS J11161006+0159128, WISE J111610.04+015912.3"
K2-120,"EPIC 211791178, 2MASS J08483431+1711267, WISE J084834.28+171126.8"
K2-121,"EPIC 211818569, 2MASS J08274481+1734457, WISE J082744.80+173445.6"
K2-122,"2MASS J08255432+2021344, K2-122, EPIC 212006344, EPIC 212006344 A, K2-122 A, WISE J082554.29+202133.8"
K2-123,"2MASS J08574660+2127127, K2-123, EPIC 212069861, WISE J085746.59+212712.0"
K2-124,"EPIC 212154564, 2MASS J08543387+2307584, WISE J085433.86+230758.5"
K2-125,"EPIC 212398486, 2MASS J13363410-1456512, WISE J133634.07-145651.8"
K2-126,"EPIC 212460519, 2MASS J13341115-1334370, WISE J133411.19-133437.0"
K2-127,"EPIC 212554013, 2MASS J13481881-1135204, WISE J134818.79-113520.3"
K2-128,"EPIC 212686205, 2MASS J13374504-0835494, WISE J133745.03-083549.4"
K2-129,"EPIC 214787262, LP 868-19, 2MASS J19163558-2538417, WISE J191635.63-253845.2"
K2-12,"EPIC 201613023, 2MASS J11324609+0214415, WISE J113246.07+021441.0"
K2-130,"EPIC 217941732, 2MASS J19210486-1941269, WISE J192104.90-194127.0"
K2-131,"2MASS J12110036-0945547, EPIC 228732031, WISE J121100.34-094554.7"
K2-132,"2MASS J12083992-0844497, EPIC 228754001, WISE J120839.91-084449.8"
K2-133,"K2-133, 2MASS J04403562+2500361, EPIC 247887989, LP 358-499, WISE J044035.78+250035.5"
K2-136,"EPIC 247589423, LP 358-348, K2-136, 2MASS J04293897+2252579, EPIC 247589423 A, K2-136 A, LP 358-348 A, WISE J042939.05+225257.4, WISE J042939.05+225257.4 A"
K2-137,"2MASS J12272899-0611428, EPIC  228813918, EPIC 228813918, WISE J122728.92-061142.7"
K2-138,"EPIC 245950175, 2MASS J23154776-1050590, WISE J231547.76-105059.0"
K2-139,"2MASS J19161596-1754384, EPIC 218916923, TYC 6300-2008-1, WISE J191615.99-175438.5"
K2-13,"EPIC 201629650, 2MASS J11203732+0230097, WISE J112037.31+023009.8"
K2-140,"EPIC 228735255, WISE J123232.95-093627.3"
K2-141 ,"EPIC 246393474 , 2MASS J23233996-0111215"
K2-146,"UCAC3 219-93463, 2MASS J08400641+1905346, K2-146, EPIC 211924657, WISE J084006.41+190533.1"
K2-147,"2MASS J19351996-2829523, EPIC 213715787, WISE J193519.93-282953.7"
K2-148,"2MASS J00580427-0011353, EPIC 220194974, EPIC 220194974 A, K2-148 A, WISE J005804.24-001135.6"
K2-149,"2MASS J00391724+0716375, EPIC 220522664, WISE J003917.22+071637.3"
K2-14,"EPIC 201635569, 2MASS J11521368+0235390, WISE J115213.65+023538.9"
K2-150,"2MASS J01132260+0859152, EPIC 220598331, WISE J011322.63+085914.8"
K2-151,"2MASS J01171307+0930050, EPIC 220621087, EPIC 220621087 B, K2-151 B, WISE J011713.12+093004.7"
K2-152,"2MASS J12063188-0549386, EPIC 201128338, WISE J120631.80-054938.7"
K2-153,"2MASS J12151420+0201153, EPIC 201598502, WISE J121514.15+020115.2"
K2-154,"2MASS  J12360036-0240100, 2MASS J12360036-0240100, EPIC 228934525, WISE J123600.36-024010.4"
K2-155,"EPIC 210897587, 2MASS 04215245+21211, K2-155, 2MASS J04215245+2121131, LP 415-17, WISE J042152.63+212112.2"
K2-156,"2MASS J12104805-0617391, EPIC 201110617, WISE J121047.95-061739.5"
K2-157,"2MASS J12150031-0546550, EPIC 201130233, WISE J121500.34-054655.2"
K2-158,"2MASS J11594560-0543182, EPIC 201132684, TYC 4938-997-1, WISE J115945.55-054318.1"
K2-159,"2MASS J12020980-0334507, EPIC 201225286, TYC 4942-664-1, WISE J120209.81-033451.0"
K2-15,"EPIC 201736247, 2MASS J11522658+0415171, WISE J115226.55+041516.8"
K2-160,"2MASS J12161309-0333111, EPIC 201227197, WISE J121613.09-033311.1"
K2-161,"2MASS J12151051-0329442, EPIC 201231064, WISE J121510.52-032944.3"
K2-162,"2MASS J12240928-0106408, EPIC 201390048, WISE J122409.23-010641.1"
K2-163,"2MASS J12091905-0032204, EPIC 201427874, WISE J120919.02-003221.2"
K2-164,"2MASS J11274407-0003462, EPIC 201460826, WISE J112744.08-000346.1"
K2-165,"2MASS J12193607+0058064, EPIC 201528828, TYC 281-875-1, WISE J121936.10+005806.0"
K2-166,"2MASS J12204519+0216568, EPIC 201615463, WISE J122045.15+021656.6"
K2-167,"2MASS J22261818-1800399, BD-18 6119, EPIC 205904628, HD 212657, HIP 110758, SAO 165073, SD-18 6119, TYC 6388-00903-1, WISE J222618.24-180041.3"
K2-169,"2MASS J22281062-1435577, EPIC 206007892, WISE J222810.61-143557.6"
K2-16,"EPIC 201754305, 2MASS J11402333+0433264, WISE J114023.33+043326.7"
